"row_id","broad_discipline_foe","narrow_discipline_foe","detailed_discipline_foe","funding_cluster","max_student_contribution_2024","commonwealth_contribution_2024","foe_code"
"45","08 - MANAGEMENT AND COMMERCE","0805 - Sales and Marketing","080500 - Sales and Marketing","Funding Cluster 1","$16,323","$1,236","080500"
"46","08 - MANAGEMENT AND COMMERCE","0805 - Sales and Marketing","080501 - Sales","Funding Cluster 1","$16,323","$1,236","080501"
"47","08 - MANAGEMENT AND COMMERCE","0805 - Sales and Marketing","080503 - Real Estate","Funding Cluster 1","$16,323","$1,236","080503"
"48","08 - MANAGEMENT AND COMMERCE","0805 - Sales and Marketing","080505 - Marketing","Funding Cluster 1","$16,323","$1,236","080505"
"49","08 - MANAGEMENT AND COMMERCE","0805 - Sales and Marketing","080507 - Advertising","Funding Cluster 1","$16,323","$1,236","080507"
"50","08 - MANAGEMENT AND COMMERCE","0805 - Sales and Marketing","080509 - Public Relations","Funding Cluster 1","$16,323","$1,236","080509"
"51","08 - MANAGEMENT AND COMMERCE","0805 - Sales and Marketing","080599 - Sales and Marketing, n.e.c.","Funding Cluster 1","$16,323","$1,236","080599"
"53","08 - MANAGEMENT AND COMMERCE","0807 - Tourism","080701 - Tourism","Funding Cluster 1","$16,323","$1,236","080701"
"54","08 - MANAGEMENT AND COMMERCE","0809 - Office Studies","080900 - Office Studies","Funding Cluster 1","$16,323","$1,236","080900"
"55","08 - MANAGEMENT AND COMMERCE","0809 - Office Studies","080901 - Secretarial and Clerical Studies","Funding Cluster 1","$16,323","$1,236","080901"
"56","08 - MANAGEMENT AND COMMERCE","0809 - Office Studies","080903 - Keyboard Skills","Funding Cluster 1","$16,323","$1,236","080903"
"57","08 - MANAGEMENT AND COMMERCE","0809 - Office Studies","080905 - Practical Computing Skills","Funding Cluster 1","$16,323","$1,236","080905"
"58","08 - MANAGEMENT AND COMMERCE","0809 - Office Studies","080999 - Office Studies, n.e.c.","Funding Cluster 1","$16,323","$1,236","080999"
"59","08 - MANAGEMENT AND COMMERCE","0811 - Banking, Finance and Related Fields","081100 - Banking, Finance and Related Fields","Funding Cluster 1","$16,323","$1,236","081100"
"60","08 - MANAGEMENT AND COMMERCE","0811 - Banking, Finance and Related Fields","081101 - Banking and Finance","Funding Cluster 1","$16,323","$1,236","081101"
"61","08 - MANAGEMENT AND COMMERCE","0811 - Banking, Finance and Related Fields","081103 - Insurance and Actuarial Studies","Funding Cluster 1","$16,323","$1,236","081103"
"62","08 - MANAGEMENT AND COMMERCE","0811 - Banking, Finance and Related Fields","081105 - Investment and Securities","Funding Cluster 1","$16,323","$1,236","081105"
"63","08 - MANAGEMENT AND COMMERCE","0811 - Banking, Finance and Related Fields","081199 - Banking, Finance and Related Fields, n.e.c.","Funding Cluster 1","$16,323","$1,236","081199"
"64","08 - MANAGEMENT AND COMMERCE","0899 - Other Management and Commerce","089900 - Other Management and Commerce","Funding Cluster 1","$16,323","$1,236","089900"
"66","08 - MANAGEMENT AND COMMERCE","0899 - Other Management and Commerce","089903 - Valuation","Funding Cluster 1","$16,323","$1,236","089903"
"67","08 - MANAGEMENT AND COMMERCE","0899 - Other Management and Commerce","089999 - Management and Commerce, n.e.c.","Funding Cluster 1","$16,323","$1,236","089999"
"68","09 - SOCIETY AND CULTURE","0901 - Political Science and Policy Studies","090100 - Political Science and Policy Studies","Funding Cluster 1","$16,323","$1,236","090100"
"69","09 - SOCIETY AND CULTURE","0901 - Political Science and Policy Studies","090101 - Political Science","Funding Cluster 1","$16,323","$1,236","090101"
"70","09 - SOCIETY AND CULTURE","0901 - Political Science and Policy Studies","090103 - Policy Studies","Funding Cluster 1","$16,323","$1,236","090103"
"71","09 - SOCIETY AND CULTURE","0903 - Studies in Human Society","090300 - Studies in Human Society","Funding Cluster 1","$16,323","$1,236","090300"
"72","09 - SOCIETY AND CULTURE","0903 - Studies in Human Society","090301 - Sociology","Funding Cluster 1","$16,323","$1,236","090301"
"73","09 - SOCIETY AND CULTURE","0903 - Studies in Human Society","090303 - Anthropology","Funding Cluster 1","$16,323","$1,236","090303"
"74","09 - SOCIETY AND CULTURE","0903 - Studies in Human Society","090305 - History","Funding Cluster 1","$16,323","$1,236","090305"
"75","09 - SOCIETY AND CULTURE","0903 - Studies in Human Society","090307 - Archaeology","Funding Cluster 1","$16,323","$1,236","090307"
"76","09 - SOCIETY AND CULTURE","0903 - Studies in Human Society","090309 - Human Geography","Funding Cluster 1","$16,323","$1,236","090309"
"77","09 - SOCIETY AND CULTURE","0903 - Studies in Human Society","090311 - Indigenous Studies","Funding Cluster 1","$16,323","$1,236","090311"
"78","09 - SOCIETY AND CULTURE","0903 - Studies in Human Society","090313 - Gender Specific Studies","Funding Cluster 1","$16,323","$1,236","090313"
"79","09 - SOCIETY AND CULTURE","0903 - Studies in Human Society","090399 - Studies in Human Society, n.e.c.","Funding Cluster 1","$16,323","$1,236","090399"
"81","09 - SOCIETY AND CULTURE","0909 - Law","090901 - Business and Commercial Law","Funding Cluster 1","$16,323","$1,236","090901"
"82","09 - SOCIETY AND CULTURE","0909 - Law","090903 - Constitutional Law","Funding Cluster 1","$16,323","$1,236","090903"
"83","09 - SOCIETY AND CULTURE","0909 - Law","090905 - Criminal Law","Funding Cluster 1","$16,323","$1,236","090905"
"84","09 - SOCIETY AND CULTURE","0909 - Law","090907 - Family Law","Funding Cluster 1","$16,323","$1,236","090907"
"85","09 - SOCIETY AND CULTURE","0909 - Law","090909 - International Law","Funding Cluster 1","$16,323","$1,236","090909"
"86","09 - SOCIETY AND CULTURE","0909 - Law","090911 - Taxation Law","Funding Cluster 1","$16,323","$1,236","090911"
"87","09 - SOCIETY AND CULTURE","0909 - Law","090913 - Legal Practice","Funding Cluster 1","$16,323","$1,236","090913"
"88","09 - SOCIETY AND CULTURE","0909 - Law","090999 - Law, n.e.c.","Funding Cluster 1","$16,323","$1,236","090999"
"89","09 - SOCIETY AND CULTURE","0911 - Justice and Law Enforcement","091100 - Justice and Law Enforcement","Funding Cluster 1","$16,323","$1,236","091100"
"90","09 - SOCIETY AND CULTURE","0911 - Justice and Law Enforcement","091101 - Justice Administration","Funding Cluster 1","$16,323","$1,236","091101"
"91","09 - SOCIETY AND CULTURE","0911 - Justice and Law Enforcement","091103 - Legal Studies","Funding Cluster 1","$16,323","$1,236","091103"
"92","09 - SOCIETY AND CULTURE","0911 - Justice and Law Enforcement","091105 - Police Studies","Funding Cluster 1","$16,323","$1,236","091105"
"93","09 - SOCIETY AND CULTURE","0911 - Justice and Law Enforcement","091199 - Justice and Law Enforcement, n.e.c.","Funding Cluster 1","$16,323","$1,236","091199"
"94","09 - SOCIETY AND CULTURE","0913 - Librarianship, Information Management and Curatorial Studies","091300 - Librarianship, Information Management and Curatorial Studies","Funding Cluster 1","$16,323","$1,236","091300"
"95","09 - SOCIETY AND CULTURE","0913 - Librarianship, Information Management and Curatorial Studies","091301 - Librarianship and Information Management","Funding Cluster 1","$16,323","$1,236","091301"
"96","09 - SOCIETY AND CULTURE","0913 - Librarianship, Information Management and Curatorial Studies","091303 - Curatorial Studies","Funding Cluster 1","$16,323","$1,236","091303"
"97","09 - SOCIETY AND CULTURE","0917 - Philosophy and Religious Studies","091700 - Philosophy and Religious Studies","Funding Cluster 1","$16,323","$1,236","091700"
"98","09 - SOCIETY AND CULTURE","0917 - Philosophy and Religious Studies","091701 - Philosophy","Funding Cluster 1","$16,323","$1,236","091701"
"99","09 - SOCIETY AND CULTURE","0917 - Philosophy and Religious Studies","091703 - Religious Studies","Funding Cluster 1","$16,323","$1,236","091703"
"100","09 - SOCIETY AND CULTURE","0919 - Economics and Econometrics","091900 - Economics and Econometrics","Funding Cluster 1","$16,323","$1,236","091900"
"101","09 - SOCIETY AND CULTURE","0919 - Economics and Econometrics","091901 - Economics","Funding Cluster 1","$16,323","$1,236","091901"
"1","09 - SOCIETY AND CULTURE","0907 - Behavioural Science","090701 - Psychology","Funding Cluster 1","$16,323","$1,236","090701"
"80","09 - SOCIETY AND CULTURE","0909 - Law","090900 - Law","Funding Cluster 1","$16,323","$1,236","090900"
"102","09 - SOCIETY AND CULTURE","0919 - Economics and Econometrics","091903 - Econometrics","Funding Cluster 1","$16,323","$1,236","091903"
"103","09 - SOCIETY AND CULTURE","0921 - Sport and Recreation","092100 - Sport and Recreation","Funding Cluster 1","$16,323","$1,236","092100"
"104","09 - SOCIETY AND CULTURE","0921 - Sport and Recreation","092101 - Sport and Recreation Activities","Funding Cluster 1","$16,323","$1,236","092101"
"105","09 - SOCIETY AND CULTURE","0921 - Sport and Recreation","092103 - Sports Coaching, Officiating and Instruction","Funding Cluster 1","$16,323","$1,236","092103"
"106","09 - SOCIETY AND CULTURE","0921 - Sport and Recreation","092199 - Sport and Recreation, n.e.c.","Funding Cluster 1","$16,323","$1,236","092199"
"107","09 - SOCIETY AND CULTURE","0999 - Other Society and Culture","099900 - Other Society and Culture","Funding Cluster 1","$16,323","$1,236","099900"
"108","09 - SOCIETY AND CULTURE","0999 - Other Society and Culture","099901 - Family and Consumer Studies","Funding Cluster 1","$16,323","$1,236","099901"
"109","09 - SOCIETY AND CULTURE","0999 - Other Society and Culture","099903 - Criminology","Funding Cluster 1","$16,323","$1,236","099903"
"110","09 - SOCIETY AND CULTURE","0999 - Other Society and Culture","099905 - Security Services","Funding Cluster 1","$16,323","$1,236","099905"
"111","09 - SOCIETY AND CULTURE","0999 - Other Society and Culture","099999 - Society and Culture, n.e.c.","Funding Cluster 1","$16,323","$1,236","099999"
"112","10 - CREATIVE ARTS","1007 - Communication and Media Studies","100700 - Communication and Media Studies","Funding Cluster 1","$16,323","$1,236","100700"
"113","10 - CREATIVE ARTS","1007 - Communication and Media Studies","100701 - Audio Visual Studies","Funding Cluster 1","$16,323","$1,236","100701"
"114","10 - CREATIVE ARTS","1007 - Communication and Media Studies","100703 - Journalism","Funding Cluster 1","$16,323","$1,236","100703"
"115","10 - CREATIVE ARTS","1007 - Communication and Media Studies","100705 - Written Communication","Funding Cluster 1","$16,323","$1,236","100705"
"116","10 - CREATIVE ARTS","1007 - Communication and Media Studies","100707 - Verbal Communication","Funding Cluster 1","$16,323","$1,236","100707"
"117","10 - CREATIVE ARTS","1007 - Communication and Media Studies","100799 - Communication and Media Studies, n.e.c.","Funding Cluster 1","$16,323","$1,236","100799"
"118","11 - FOOD, HOSPITALITY AND PERSONAL SERVICES","1101 - Food and Hospitality","110100 - Food and Hospitality","Funding Cluster 1","$16,323","$1,236","110100"
"119","11 - FOOD, HOSPITALITY AND PERSONAL SERVICES","1101 - Food and Hospitality","110101 - Hospitality","Funding Cluster 1","$16,323","$1,236","110101"
"120","11 - FOOD, HOSPITALITY AND PERSONAL SERVICES","1101 - Food and Hospitality","110103 - Food and Beverage Service","Funding Cluster 1","$16,323","$1,236","110103"
"121","11 - FOOD, HOSPITALITY AND PERSONAL SERVICES","1101 - Food and Hospitality","110105 - Butchery","Funding Cluster 1","$16,323","$1,236","110105"
"122","11 - FOOD, HOSPITALITY AND PERSONAL SERVICES","1101 - Food and Hospitality","110107 - Baking and Pastrymaking","Funding Cluster 1","$16,323","$1,236","110107"
"123","11 - FOOD, HOSPITALITY AND PERSONAL SERVICES","1101 - Food and Hospitality","110109 - Cookery","Funding Cluster 1","$16,323","$1,236","110109"
"124","11 - FOOD, HOSPITALITY AND PERSONAL SERVICES","1101 - Food and Hospitality","110111 - Food Hygiene","Funding Cluster 1","$16,323","$1,236","110111"
"125","11 - FOOD, HOSPITALITY AND PERSONAL SERVICES","1101 - Food and Hospitality","110199 - Food and Hospitality, n.e.c.","Funding Cluster 1","$16,323","$1,236","110199"
"126","11 - FOOD, HOSPITALITY AND PERSONAL SERVICES","1103 - Personal Services","110300 - Personal Services","Funding Cluster 1","$16,323","$1,236","110300"
"127","11 - FOOD, HOSPITALITY AND PERSONAL SERVICES","1103 - Personal Services","110301 - Beauty Therapy","Funding Cluster 1","$16,323","$1,236","110301"
"128","11 - FOOD, HOSPITALITY AND PERSONAL SERVICES","1103 - Personal Services","110303 - Hairdressing","Funding Cluster 1","$16,323","$1,236","110303"
"129","11 - FOOD, HOSPITALITY AND PERSONAL SERVICES","1103 - Personal Services","110399 - Personal Services, n.e.c.","Funding Cluster 1","$16,323","$1,236","110399"
"130","12 - MIXED FIELD PROGRAMMES","1201 - General Education Programmes","120100 - General Education Programmes","Funding Cluster 1","$16,323","$1,236","120100"
"131","12 - MIXED FIELD PROGRAMMES","1201 - General Education Programmes","120101 - General Primary and Secondary Education Programmes","Funding Cluster 1","$16,323","$1,236","120101"
"132","12 - MIXED FIELD PROGRAMMES","1201 - General Education Programmes","120103 - Literacy and Numeracy Programmes","Funding Cluster 1","$16,323","$1,236","120103"
"133","12 - MIXED FIELD PROGRAMMES","1201 - General Education Programmes","120105 - Learning Skills Programmes","Funding Cluster 1","$16,323","$1,236","120105"
"134","12 - MIXED FIELD PROGRAMMES","1201 - General Education Programmes","120199 - General Education Programmes, n.e.c.","Funding Cluster 1","$16,323","$1,236","120199"
"135","12 - MIXED FIELD PROGRAMMES","1203-Social Skills Programs","120300 - Social Skills Programs","Funding Cluster 1","$16,323","$1,236","120300"
"136","12 - MIXED FIELD PROGRAMMES","1203-Social Skills Programs","120301 - Social and Interpersonal Skills Programs","Funding Cluster 1","$16,323","$1,236","120301"
"137","12 - MIXED FIELD PROGRAMMES","1203-Social Skills Programs","120303 - Survival Skills Programs","Funding Cluster 1","$16,323","$1,236","120303"
"138","12 - MIXED FIELD PROGRAMMES","1203-Social Skills Programs","120305 - Parental Education Programs","Funding Cluster 1","$16,323","$1,236","120305"
"139","12 - MIXED FIELD PROGRAMMES","1203-Social Skills Programs","120399 - Social Skills Programs, n.e.c.","Funding Cluster 1","$16,323","$1,236","120399"
"140","12 - MIXED FIELD PROGRAMMES","1205-Employment Skills Programs","120500 - Employment Skills Programs","Funding Cluster 1","$16,323","$1,236","120500"
"141","12 - MIXED FIELD PROGRAMMES","1205-Employment Skills Programs","120501 - Career Development Programs","Funding Cluster 1","$16,323","$1,236","120501"
"142","12 - MIXED FIELD PROGRAMMES","1205-Employment Skills Programs","120503 - Job Search Skills Programs","Funding Cluster 1","$16,323","$1,236","120503"
"143","12 - MIXED FIELD PROGRAMMES","1205-Employment Skills Programs","120505 - Work Practices Programs","Funding Cluster 1","$16,323","$1,236","120505"
"144","12 - MIXED FIELD PROGRAMMES","1205-Employment Skills Programs","120599 - Employment Skills Programs, n.e.c.","Funding Cluster 1","$16,323","$1,236","120599"
"145","12 - MIXED FIELD PROGRAMMES","1299 - Other Mixed Field Programmes","129900 - Other Mixed Field Programmes","Funding Cluster 1","$16,323","$1,236","129900"
"146","12 - MIXED FIELD PROGRAMMES","1299 - Other Mixed Field Programmes","129999 - Mixed Field Programmes, n.e.c.","Funding Cluster 1","$16,323","$1,236","129999"
"147","01 - NATURAL AND PHYSICAL SCIENCES","0101 - Mathematical Sciences","010100 - Mathematical Sciences","Funding Cluster 2","$4,445","$14,915","010100"
"148","01 - NATURAL AND PHYSICAL SCIENCES","0101 - Mathematical Sciences","010101 - Mathematics","Funding Cluster 2","$4,445","$14,915","010101"
"149","01 - NATURAL AND PHYSICAL SCIENCES","0101 - Mathematical Sciences","010103 - Statistics","Funding Cluster 2","$4,445","$14,915","010103"
"150","01 - NATURAL AND PHYSICAL SCIENCES","0101 - Mathematical Sciences","010199 - Mathematical Sciences, n.e.c.","Funding Cluster 2","$4,445","$14,915","010199"
"151","07 - EDUCATION","0701 - Teacher Education","070100 - Teacher Education","Funding Cluster 2","$4,445","$14,915","070100"
"152","07 - EDUCATION","0701 - Teacher Education","070101 - Teacher Education: Early Childhood","Funding Cluster 2","$4,445","$14,915","070101"
"153","07 - EDUCATION","0701 - Teacher Education","070103 - Teacher Education: Primary","Funding Cluster 2","$4,445","$14,915","070103"
"154","07 - EDUCATION","0701 - Teacher Education","070105 - Teacher Education: Secondary","Funding Cluster 2","$4,445","$14,915","070105"
"155","07 - EDUCATION","0701 - Teacher Education","070107 - Teacher-Librarianship","Funding Cluster 2","$4,445","$14,915","070107"
"156","07 - EDUCATION","0701 - Teacher Education","070109 - Teacher Education: Vocational Education and Training","Funding Cluster 2","$4,445","$14,915","070109"
"157","07 - EDUCATION","0701 - Teacher Education","070111 - Teacher Education: Higher Education","Funding Cluster 2","$4,445","$14,915","070111"
"158","07 - EDUCATION","0701 - Teacher Education","070113 - Teacher Education: Special Education","Funding Cluster 2","$4,445","$14,915","070113"
"159","07 - EDUCATION","0701 - Teacher Education","070115 - English as a Second Language Teaching","Funding Cluster 2","$4,445","$14,915","070115"
"160","07 - EDUCATION","0701 - Teacher Education","070117 - Nursing Education Teacher Training","Funding Cluster 2","$4,445","$14,915","070117"
"161","07 - EDUCATION","0701 - Teacher Education","070199 - Teacher Education, n.e.c.","Funding Cluster 2","$4,445","$14,915","070199"
"162","07 - EDUCATION","0703 - Curriculum and Education Studies","070300 - Curriculum and Education Studies","Funding Cluster 2","$4,445","$14,915","070300"
"163","07 - EDUCATION","0703 - Curriculum and Education Studies","070301 - Curriculum Studies","Funding Cluster 2","$4,445","$14,915","070301"
"164","07 - EDUCATION","0703 - Curriculum and Education Studies","070303 - Education Studies","Funding Cluster 2","$4,445","$14,915","070303"
"165","07 - EDUCATION","0799 - Other Education","079900 - Other Education","Funding Cluster 2","$4,445","$14,915","079900"
"166","07 - EDUCATION","0799 - Other Education","079999 - Education, n.e.c.","Funding Cluster 2","$4,445","$14,915","079999"
"167","09 - SOCIETY AND CULTURE","0915 - Language and Literature","091500 - Language and Literature","Funding Cluster 2","$4,445","$14,915","091500"
"168","09 - SOCIETY AND CULTURE","0915 - Language and Literature","091501 - English Language","Funding Cluster 2","$4,445","$14,915","091501"
"169","09 - SOCIETY AND CULTURE","0915 - Language and Literature","091521 - Linguistics","Funding Cluster 2","$4,445","$14,915","091521"
"170","09 - SOCIETY AND CULTURE","0915 - Language and Literature","091523 - Literature","Funding Cluster 2","$4,445","$14,915","091523"
"171","09 - SOCIETY AND CULTURE","0915 - Language and Literature","091599 - Language and Literature, n.e.c.","Funding Cluster 2","$4,445","$14,915","091599"
"172","02 - INFORMATION TECHNOLOGY","0201 - Computer Science","020100 - Computer Science","Funding Cluster 2","$8,948","$14,915","020100"
"173","02 - INFORMATION TECHNOLOGY","0201 - Computer Science","020101 - Formal Language Theory","Funding Cluster 2","$8,948","$14,915","020101"
"174","02 - INFORMATION TECHNOLOGY","0201 - Computer Science","020103 - Programming","Funding Cluster 2","$8,948","$14,915","020103"
"175","02 - INFORMATION TECHNOLOGY","0201 - Computer Science","020105 - Computational Theory","Funding Cluster 2","$8,948","$14,915","020105"
"176","02 - INFORMATION TECHNOLOGY","0201 - Computer Science","020107 - Compiler Construction","Funding Cluster 2","$8,948","$14,915","020107"
"177","02 - INFORMATION TECHNOLOGY","0201 - Computer Science","020109 - Algorithms","Funding Cluster 2","$8,948","$14,915","020109"
"178","02 - INFORMATION TECHNOLOGY","0201 - Computer Science","020111 - Data Structures","Funding Cluster 2","$8,948","$14,915","020111"
"179","02 - INFORMATION TECHNOLOGY","0201 - Computer Science","020113 - Networks and Communications","Funding Cluster 2","$8,948","$14,915","020113"
"180","02 - INFORMATION TECHNOLOGY","0201 - Computer Science","020115 - Computer Graphics","Funding Cluster 2","$8,948","$14,915","020115"
"181","02 - INFORMATION TECHNOLOGY","0201 - Computer Science","020117 - Operating Systems","Funding Cluster 2","$8,948","$14,915","020117"
"182","02 - INFORMATION TECHNOLOGY","0201 - Computer Science","020119 - Artificial Intelligence","Funding Cluster 2","$8,948","$14,915","020119"
"183","02 - INFORMATION TECHNOLOGY","0201 - Computer Science","020199 - Computer Science, n.e.c.","Funding Cluster 2","$8,948","$14,915","020199"
"184","02 - INFORMATION TECHNOLOGY","0203 - Information Systems","020300 - Information Systems","Funding Cluster 2","$8,948","$14,915","020300"
"185","02 - INFORMATION TECHNOLOGY","0203 - Information Systems","020301 - Conceptual Modelling","Funding Cluster 2","$8,948","$14,915","020301"
"186","02 - INFORMATION TECHNOLOGY","0203 - Information Systems","020303 - Database Management","Funding Cluster 2","$8,948","$14,915","020303"
"187","02 - INFORMATION TECHNOLOGY","0203 - Information Systems","020305 - Systems Analysis and Design","Funding Cluster 2","$8,948","$14,915","020305"
"188","02 - INFORMATION TECHNOLOGY","0203 - Information Systems","020307 - Decision Support Systems","Funding Cluster 2","$8,948","$14,915","020307"
"189","02 - INFORMATION TECHNOLOGY","0203 - Information Systems","020399 - Information Systems, n.e.c.","Funding Cluster 2","$8,948","$14,915","020399"
"190","02 - INFORMATION TECHNOLOGY","0299 - Other Information Technology","029900 - Other Information Technology","Funding Cluster 2","$8,948","$14,915","029900"
"191","02 - INFORMATION TECHNOLOGY","0299 - Other Information Technology","029901 - Security Science","Funding Cluster 2","$8,948","$14,915","029901"
"192","02 - INFORMATION TECHNOLOGY","0299 - Other Information Technology","029999 - Information Technology, n.e.c.","Funding Cluster 2","$8,948","$14,915","029999"
"193","04 - ARCHITECTURE AND BUILDING","0401 - Architecture and Urban Environment","040100 - Architecture and Urban Environment","Funding Cluster 2","$8,948","$14,915","040100"
"194","04 - ARCHITECTURE AND BUILDING","0401 - Architecture and Urban Environment","040101 - Architecture","Funding Cluster 2","$8,948","$14,915","040101"
"195","04 - ARCHITECTURE AND BUILDING","0401 - Architecture and Urban Environment","040103 - Urban Design and Regional Planning","Funding Cluster 2","$8,948","$14,915","040103"
"196","04 - ARCHITECTURE AND BUILDING","0401 - Architecture and Urban Environment","040105 - Landscape Architecture","Funding Cluster 2","$8,948","$14,915","040105"
"197","04 - ARCHITECTURE AND BUILDING","0401 - Architecture and Urban Environment","040107 - Interior and Environmental Design","Funding Cluster 2","$8,948","$14,915","040107"
"198","04 - ARCHITECTURE AND BUILDING","0401 - Architecture and Urban Environment","040199 - Architecture and Urban Environment, n.e.c.","Funding Cluster 2","$8,948","$14,915","040199"
"199","04 - ARCHITECTURE AND BUILDING","0403 - Building","040300 - Building","Funding Cluster 2","$8,948","$14,915","040300"
"200","04 - ARCHITECTURE AND BUILDING","0403 - Building","040301 - Building Science and Technology","Funding Cluster 2","$8,948","$14,915","040301"
"201","04 - ARCHITECTURE AND BUILDING","0403 - Building","040303 - Building Construction Management","Funding Cluster 2","$8,948","$14,915","040303"
"202","04 - ARCHITECTURE AND BUILDING","0403 - Building","040305 - Building Surveying","Funding Cluster 2","$8,948","$14,915","040305"
"203","04 - ARCHITECTURE AND BUILDING","0403 - Building","040307 - Building Construction Economics","Funding Cluster 2","$8,948","$14,915","040307"
"204","04 - ARCHITECTURE AND BUILDING","0403 - Building","040309 - Bricklaying and Stonemasonry","Funding Cluster 2","$8,948","$14,915","040309"
"205","04 - ARCHITECTURE AND BUILDING","0403 - Building","040311 - Carpentry and Joinery","Funding Cluster 2","$8,948","$14,915","040311"
"206","04 - ARCHITECTURE AND BUILDING","0403 - Building","040313 - Ceiling, Wall and Floor Fixing","Funding Cluster 2","$8,948","$14,915","040313"
"207","04 - ARCHITECTURE AND BUILDING","0403 - Building","040315 - Roof Fixing","Funding Cluster 2","$8,948","$14,915","040315"
"208","04 - ARCHITECTURE AND BUILDING","0403 - Building","040317 - Plastering","Funding Cluster 2","$8,948","$14,915","040317"
"209","04 - ARCHITECTURE AND BUILDING","0403 - Building","040319 - Furnishing Installation","Funding Cluster 2","$8,948","$14,915","040319"
"210","04 - ARCHITECTURE AND BUILDING","0403 - Building","040321 - Floor Coverings","Funding Cluster 2","$8,948","$14,915","040321"
"211","04 - ARCHITECTURE AND BUILDING","0403 - Building","040323 - Glazing","Funding Cluster 2","$8,948","$14,915","040323"
"212","04 - ARCHITECTURE AND BUILDING","0403 - Building","040325 - Painting, Decorating and Sign Writing","Funding Cluster 2","$8,948","$14,915","040325"
"213","04 - ARCHITECTURE AND BUILDING","0403 - Building","040327 - Plumbing","Funding Cluster 2","$8,948","$14,915","040327"
"214","04 - ARCHITECTURE AND BUILDING","0403 - Building","040329 - Scaffolding and Rigging","Funding Cluster 2","$8,948","$14,915","040329"
"215","04 - ARCHITECTURE AND BUILDING","0403 - Building","040399 - Building, n.e.c.","Funding Cluster 2","$8,948","$14,915","040399"
