CourseTypeBroadName,FundingGroupName,,UnitLevelCode,UnitPrimaryFOECode,UnitPrimaryFOEDetailedName,UnitPrimaryFOENarrowName,UnitPrimaryFOEBroadName, 2024 EFTSL 
Undergraduate,Domestic - C'wealth Supported,,4,91505,Southern European Languages,Language And Literature,Society And Culture,0.75
Undergraduate,Domestic - C'wealth Supported,,4,91505,Southern European Languages,Language And Literature,Society And Culture,0.25
Undergraduate,Domestic - C'wealth Supported,,4,91505,Southern European Languages,Language And Literature,Society And Culture,0.25
Undergraduate,Domestic - C'wealth Supported,,4,90305,History,Studies In Human Society,Society And Culture,0.375
Undergraduate,Domestic - C'wealth Supported,,4,100701,Audio Visual Studies,Communication And Media Studies,Creative Arts,1.5
Undergraduate,Domestic - C'wealth Supported,,4,90303,Anthropology,Studies In Human Society,Society And Culture,1.75
Undergraduate,Domestic - C'wealth Supported,,5,90905,Criminal Law,Law,Society And Culture,0.5
Undergraduate,Domestic - C'wealth Supported,,5,90101,Political Science,Political Science And Policy Studies,Society And Culture,0.25
Undergraduate,Domestic - C'wealth Supported,,4,91701,Philosophy,Philosophy And Religious Studies,Society And Culture,0.875
Undergraduate,Domestic - C'wealth Supported,,4,90305,History,Studies In Human Society,Society And Culture,0.625
Undergraduate,Domestic - C'wealth Supported,,4,100101,Music,Performing Arts,Creative Arts,0.125
Undergraduate,Domestic - C'wealth Supported,,4,90999,Law Not Elsewhere Classified,Law,Society And Culture,0.375
Undergraduate,Domestic - C'wealth Supported,,5,90103,Policy Studies,Political Science And Policy Studies,Society And Culture,0.125
Undergraduate,Domestic - C'wealth Supported,,5,90101,Political Science,Political Science And Policy Studies,Society And Culture,0.125
Undergraduate,Domestic - C'wealth Supported,,4,91523,Literature,Language And Literature,Society And Culture,1.875
Undergraduate,Domestic - C'wealth Supported,,4,91523,Literature,Language And Literature,Society And Culture,1.5
Undergraduate,Domestic - C'wealth Supported,,5,100799,Communication And Media Studies Not Elsewhere Classified,Communication And Media Studies,Creative Arts,0.125
Undergraduate,Domestic - C'wealth Supported,,4,91701,Philosophy,Philosophy And Religious Studies,Society And Culture,0.25
Undergraduate,Domestic - C'wealth Supported,,4,90305,History,Studies In Human Society,Society And Culture,0.75
Undergraduate,Domestic - C'wealth Supported,,4,90313,Gender Specific Studies,Studies In Human Society,Society And Culture,0.625
Undergraduate,Domestic - C'wealth Supported,,5,90909,International Law,Law,Society And Culture,0.125
Undergraduate,Domestic - C'wealth Supported,,4,91505,Southern European Languages,Language And Literature,Society And Culture,0.875
Undergraduate,Domestic - C'wealth Supported,,4,90399,Studies In Human Society Not Elsewhere Classified,Studies In Human Society,Society And Culture,0.625
Undergraduate,Domestic - C'wealth Supported,,4,91505,Southern European Languages,Language And Literature,Society And Culture,0.875
Undergraduate,Domestic - C'wealth Supported,,4,90305,History,Studies In Human Society,Society And Culture,0.625
Undergraduate,Domestic - C'wealth Supported,,4,91523,Literature,Language And Literature,Society And Culture,0.5
Undergraduate,Domestic - C'wealth Supported,,4,91505,Southern European Languages,Language And Literature,Society And Culture,0.125
Undergraduate,Domestic - C'wealth Supported,,4,91523,Literature,Language And Literature,Society And Culture,1.5
Undergraduate,Domestic - C'wealth Supported,,4,91701,Philosophy,Philosophy And Religious Studies,Society And Culture,0.125
Undergraduate,Domestic - C'wealth Supported,,4,100301,Fine Arts,Visual Arts And Crafts,Creative Arts,0.5
Undergraduate,Domestic - C'wealth Supported,,4,100301,Fine Arts,Visual Arts And Crafts,Creative Arts,1
Undergraduate,Domestic - C'wealth Supported,,4,100301,Fine Arts,Visual Arts And Crafts,Creative Arts,1.25
Undergraduate,Domestic - C'wealth Supported,,4,99999,Society And Culture Not Elsewhere Classified,Other Society And Culture,Society And Culture,0.375
Undergraduate,Domestic - C'wealth Supported,,4,100301,Fine Arts,Visual Arts And Crafts,Creative Arts,0.375
Undergraduate,Domestic - C'wealth Supported,,4,100301,Fine Arts,Visual Arts And Crafts,Creative Arts,1
Undergraduate,Domestic - C'wealth Supported,,4,91303,Curatorial Studies,"Librarianship, Information Management And Curatorial Studies",Society And Culture,0.25
Undergraduate,Domestic - C'wealth Supported,,4,99999,Society And Culture Not Elsewhere Classified,Other Society And Culture,Society And Culture,0.375
Undergraduate,Domestic - C'wealth Supported,,4,99999,Society And Culture Not Elsewhere Classified,Other Society And Culture,Society And Culture,0.75
Undergraduate,Domestic - C'wealth Supported,,4,99999,Society And Culture Not Elsewhere Classified,Other Society And Culture,Society And Culture,0.25
Undergraduate,Domestic - C'wealth Supported,,4,99999,Society And Culture Not Elsewhere Classified,Other Society And Culture,Society And Culture,0.375
Undergraduate,Domestic - C'wealth Supported,,5,90501,Social Work,Human Welfare Studies And Services,Society And Culture,0.125
Undergraduate,Domestic - C'wealth Supported,,4,90313,Gender Specific Studies,Studies In Human Society,Society And Culture,0.75
Undergraduate,Domestic - C'wealth Supported,,4,90313,Gender Specific Studies,Studies In Human Society,Society And Culture,0.75
Undergraduate,Domestic - C'wealth Supported,,5,10900,Biological Sciences,Biological Sciences,Natural And Physical Sciences,1
Undergraduate,Domestic - C'wealth Supported,,4,10103,Statistics,Mathematical Sciences,Natural And Physical Sciences,2
Undergraduate,Domestic - C'wealth Supported,,4,90701,Psychology,Behavioural Science,Society And Culture,1.875
Undergraduate,Domestic - C'wealth Supported,,5,100700,Communication And Media Studies,Communication And Media Studies,Creative Arts,0.125
Undergraduate,Domestic - C'wealth Supported,,5,100700,Communication And Media Studies,Communication And Media Studies,Creative Arts,0.125
Undergraduate,Domestic - C'wealth Supported,,4,69903,Human Movement,Other Health,Health,0.125
Undergraduate,Domestic - C'wealth Supported,,5,20119,Artificial Intelligence,Computer Science,Information Technology,0.25
Undergraduate,Domestic - C'wealth Supported,,4,10901,Biochemistry And Cell Biology,Biological Sciences,Natural And Physical Sciences,1.875
Undergraduate,Domestic - C'wealth Supported,,4,10901,Biochemistry And Cell Biology,Biological Sciences,Natural And Physical Sciences,1.875
Undergraduate,Domestic - C'wealth Supported,,4,10901,Biochemistry And Cell Biology,Biological Sciences,Natural And Physical Sciences,0.75
Undergraduate,Domestic - C'wealth Supported,,5,69900,Other Health,Other Health,Health,0.125
Undergraduate,Domestic - C'wealth Supported,,5,10915,Zoology,Biological Sciences,Natural And Physical Sciences,0.25
Undergraduate,Domestic - C'wealth Supported,,4,10905,Ecology And Evolution,Biological Sciences,Natural And Physical Sciences,1
Undergraduate,Domestic - C'wealth Supported,,4,10901,Biochemistry And Cell Biology,Biological Sciences,Natural And Physical Sciences,1.75
Undergraduate,Domestic - C'wealth Supported,,4,19999,Natural And Physical Sciences Not Elsewhere Classified,Other Natural And Physical Sciences,Natural And Physical Sciences,0.375
Undergraduate,Domestic - C'wealth Supported,,4,10101,Mathematics,Mathematical Sciences,Natural And Physical Sciences,0.125
Undergraduate,Domestic - C'wealth Supported,,4,10301,Physics,Physics And Astronomy,Natural And Physical Sciences,0.125
Undergraduate,Domestic - C'wealth Supported,,4,10103,Statistics,Mathematical Sciences,Natural And Physical Sciences,0.125
Undergraduate,Domestic - C'wealth Supported,,5,10905,Ecology And Evolution,Biological Sciences,Natural And Physical Sciences,0.125
Undergraduate,Domestic - C'wealth Supported,,4,10500,Chemical Sciences,Chemical Sciences,Natural And Physical Sciences,0.875
Undergraduate,Domestic - C'wealth Supported,,4,90701,Psychology,Behavioural Science,Society And Culture,0.375
Undergraduate,Domestic - C'wealth Supported,,5,100700,Communication And Media Studies,Communication And Media Studies,Creative Arts,0.125
Undergraduate,Domestic - C'wealth Supported,,5,100700,Communication And Media Studies,Communication And Media Studies,Creative Arts,0.125
Undergraduate,Domestic - C'wealth Supported,,5,10905,Ecology And Evolution,Biological Sciences,Natural And Physical Sciences,1
Undergraduate,Domestic - C'wealth Supported,,5,20103,Programming,Computer Science,Information Technology,0.125
Undergraduate,Domestic - C'wealth Supported,,5,39999,Engineering And Related Technologies Not Elsewhere Classifie,Other Engineering And Related Technologies,Engineering And Related Technologies,0.125
Undergraduate,Domestic - C'wealth Supported,,4,10901,Biochemistry And Cell Biology,Biological Sciences,Natural And Physical Sciences,1.75
Undergraduate,Domestic - C'wealth Supported,,4,10901,Biochemistry And Cell Biology,Biological Sciences,Natural And Physical Sciences,1.875
Undergraduate,Domestic - C'wealth Supported,,4,10909,Genetics,Biological Sciences,Natural And Physical Sciences,0.25
Undergraduate,Domestic - C'wealth Supported,,5,10905,Ecology And Evolution,Biological Sciences,Natural And Physical Sciences,0.125
Undergraduate,Domestic - C'wealth Supported,,5,100700,Communication And Media Studies,Communication And Media Studies,Creative Arts,0.125
Undergraduate,Domestic - C'wealth Supported,,4,90701,Psychology,Behavioural Science,Society And Culture,4
Undergraduate,Domestic - C'wealth Supported,,4,90701,Psychology,Behavioural Science,Society And Culture,1.5
Undergraduate,Domestic - C'wealth Supported,,4,90701,Psychology,Behavioural Science,Society And Culture,2.75
Undergraduate,Domestic - C'wealth Supported,,4,10301,Physics,Physics And Astronomy,Natural And Physical Sciences,0.25
Undergraduate,Domestic - C'wealth Supported,,4,10901,Biochemistry And Cell Biology,Biological Sciences,Natural And Physical Sciences,1.75
Undergraduate,Domestic - C'wealth Supported,,4,10103,Statistics,Mathematical Sciences,Natural And Physical Sciences,0.125
Undergraduate,Domestic - C'wealth Supported,,4,10101,Mathematics,Mathematical Sciences,Natural And Physical Sciences,0.5
Undergraduate,Domestic - C'wealth Supported,,4,10103,Statistics,Mathematical Sciences,Natural And Physical Sciences,0.5
Undergraduate,Domestic - C'wealth Supported,,4,69900,Other Health,Other Health,Health,0.25
Undergraduate,Domestic - C'wealth Supported,,4,69900,Other Health,Other Health,Health,0.375
Undergraduate,Domestic - C'wealth Supported,,4,10900,Biological Sciences,Biological Sciences,Natural And Physical Sciences,2.75
Undergraduate,Domestic - C'wealth Supported,,5,10900,Biological Sciences,Biological Sciences,Natural And Physical Sciences,2.125
Undergraduate,Domestic - C'wealth Supported,,5,10900,Biological Sciences,Biological Sciences,Natural And Physical Sciences,2.125
Undergraduate,Domestic - C'wealth Supported,,4,69900,Other Health,Other Health,Health,0.375
Undergraduate,Domestic - C'wealth Supported,,5,10999,Biological Sciences Not Elsewhere Classified,Biological Sciences,Natural And Physical Sciences,0.625
Undergraduate,Domestic - C'wealth Supported,,4,69900,Other Health,Other Health,Health,0.25
Undergraduate,Domestic - C'wealth Supported,,5,31300,Electrical And Electronic Engineering And Technology,Electrical And Electronic Engineering And Technology,Engineering And Related Technologies,0.125
Undergraduate,Domestic - C'wealth Supported,,5,30301,Chemical Engineering,Process And Resources Engineering,Engineering And Related Technologies,0.125
Undergraduate,Domestic - C'wealth Supported,,5,10999,Biological Sciences Not Elsewhere Classified,Biological Sciences,Natural And Physical Sciences,0.75
Undergraduate,Domestic - C'wealth Supported,,5,10999,Biological Sciences Not Elsewhere Classified,Biological Sciences,Natural And Physical Sciences,0.625
Undergraduate,Domestic - C'wealth Supported,,5,10999,Biological Sciences Not Elsewhere Classified,Biological Sciences,Natural And Physical Sciences,0.625
Undergraduate,Domestic - C'wealth Supported,,4,20100,Computer Science,Computer Science,Information Technology,0.75
Undergraduate,Domestic - C'wealth Supported,,4,20100,Computer Science,Computer Science,Information Technology,1.75
Undergraduate,Domestic - C'wealth Supported,,4,20119,Artificial Intelligence,Computer Science,Information Technology,0.25
Undergraduate,Domestic - C'wealth Supported,,4,20100,Computer Science,Computer Science,Information Technology,0.625
Undergraduate,Domestic - C'wealth Supported,,5,20300,Information Systems,Information Systems,Information Technology,0.5
Undergraduate,Domestic - C'wealth Supported,,4,10900,Biological Sciences,Biological Sciences,Natural And Physical Sciences,2.75
Undergraduate,Domestic - C'wealth Supported,,5,10999,Biological Sciences Not Elsewhere Classified,Biological Sciences,Natural And Physical Sciences,2.125
Undergraduate,Domestic - C'wealth Supported,,5,10900,Biological Sciences,Biological Sciences,Natural And Physical Sciences,2.125
Undergraduate,Domestic - C'wealth Supported,,4,90701,Psychology,Behavioural Science,Society And Culture,4.25
Undergraduate,Domestic - C'wealth Supported,,4,10901,Biochemistry And Cell Biology,Biological Sciences,Natural And Physical Sciences,1.75
Undergraduate,Domestic - C'wealth Supported,,5,39900,Other Engineering And Related Technologies,Other Engineering And Related Technologies,Engineering And Related Technologies,0.25
Undergraduate,Domestic - C'wealth Supported,,5,31300,Electrical And Electronic Engineering And Technology,Electrical And Electronic Engineering And Technology,Engineering And Related Technologies,0.125
Undergraduate,Domestic - C'wealth Supported,,4,91903,Econometrics,Economics And Econometrics,Society And Culture,0.125
Undergraduate,Domestic - C'wealth Supported,,4,10911,Microbiology,Biological Sciences,Natural And Physical Sciences,0.125
Undergraduate,Domestic - C'wealth Supported,,5,10103,Statistics,Mathematical Sciences,Natural And Physical Sciences,3
Undergraduate,Domestic - C'wealth Supported,,5,39900,Other Engineering And Related Technologies,Other Engineering And Related Technologies,Engineering And Related Technologies,0.25
Undergraduate,Domestic - C'wealth Supported,,5,69900,Other Health,Other Health,Health,3
Undergraduate,Domestic - C'wealth Supported,,4,10103,Statistics,Mathematical Sciences,Natural And Physical Sciences,0.375
Undergraduate,Domestic - C'wealth Supported,,5,10905,Ecology And Evolution,Biological Sciences,Natural And Physical Sciences,0.875
Undergraduate,Domestic - C'wealth Supported,,4,20119,Artificial Intelligence,Computer Science,Information Technology,0.75
Undergraduate,Domestic - C'wealth Supported,,5,10900,Biological Sciences,Biological Sciences,Natural And Physical Sciences,1.125
Undergraduate,Domestic - C'wealth Supported,,5,10900,Biological Sciences,Biological Sciences,Natural And Physical Sciences,1.125
Undergraduate,Domestic - C'wealth Supported,,4,50901,Land  Parks And Wildlife Management,Environmental Studies,Agriculture  Environmental And Related Studies,0.125
Undergraduate,Domestic - C'wealth Supported,,5,50900,Environmental Studies,Environmental Studies,Agriculture  Environmental And Related Studies,0.25
Undergraduate,Domestic - C'wealth Supported,,5,10709,Soil Science,Earth Sciences,Natural And Physical Sciences,0.125
Undergraduate,Domestic - C'wealth Supported,,4,31199,Geomatic Engineering Not Elsewhere Classified,Geomatic Engineering,Engineering And Related Technologies,0.25
Undergraduate,Domestic - C'wealth Supported,,4,50900,Environmental Studies,Environmental Studies,Agriculture  Environmental And Related Studies,0.125
Undergraduate,Domestic - C'wealth Supported,,5,50901,Land  Parks And Wildlife Management,Environmental Studies,Agriculture  Environmental And Related Studies,0.125
Undergraduate,Domestic - C'wealth Supported,,5,50101,Agricultural Science,Agriculture,Agriculture  Environmental And Related Studies,0.375
Undergraduate,Domestic - C'wealth Supported,,5,50101,Agricultural Science,Agriculture,Agriculture  Environmental And Related Studies,0.375
Undergraduate,Domestic - C'wealth Supported,,5,50101,Agricultural Science,Agriculture,Agriculture  Environmental And Related Studies,0.25
Undergraduate,Domestic - C'wealth Supported,,5,50101,Agricultural Science,Agriculture,Agriculture  Environmental And Related Studies,0.125
Undergraduate,Domestic - C'wealth Supported,,4,10103,Statistics,Mathematical Sciences,Natural And Physical Sciences,0.125
Undergraduate,Domestic - C'wealth Supported,,4,10103,Statistics,Mathematical Sciences,Natural And Physical Sciences,1.375
Undergraduate,Domestic - C'wealth Supported,,4,90701,Psychology,Behavioural Science,Society And Culture,0.125
Undergraduate,Domestic - C'wealth Supported,,4,10700,Earth Sciences,Earth Sciences,Natural And Physical Sciences,0.25
Undergraduate,Domestic - C'wealth Supported,,5,10703,Geology,Earth Sciences,Natural And Physical Sciences,0.125
Undergraduate,Domestic - C'wealth Supported,,4,10703,Geology,Earth Sciences,Natural And Physical Sciences,0.125
Undergraduate,Domestic - C'wealth Supported,,4,10703,Geology,Earth Sciences,Natural And Physical Sciences,0.375
Undergraduate,Domestic - C'wealth Supported,,4,10703,Geology,Earth Sciences,Natural And Physical Sciences,0.125
Undergraduate,Domestic - C'wealth Supported,,4,10703,Geology,Earth Sciences,Natural And Physical Sciences,0.375
Undergraduate,Domestic - C'wealth Supported,,4,10703,Geology,Earth Sciences,Natural And Physical Sciences,0.375
Undergraduate,Domestic - C'wealth Supported,,4,10703,Geology,Earth Sciences,Natural And Physical Sciences,0.25
Undergraduate,Domestic - C'wealth Supported,,4,10101,Mathematics,Mathematical Sciences,Natural And Physical Sciences,0.375
Undergraduate,Domestic - C'wealth Supported,,4,10101,Mathematics,Mathematical Sciences,Natural And Physical Sciences,0.25
Undergraduate,Domestic - C'wealth Supported,,5,10703,Geology,Earth Sciences,Natural And Physical Sciences,0.25
Undergraduate,Domestic - C'wealth Supported,,4,10101,Mathematics,Mathematical Sciences,Natural And Physical Sciences,2
Undergraduate,Domestic - C'wealth Supported,,4,10101,Mathematics,Mathematical Sciences,Natural And Physical Sciences,2
Undergraduate,Domestic - C'wealth Supported,,4,10101,Mathematics,Mathematical Sciences,Natural And Physical Sciences,0.25
Undergraduate,Domestic - C'wealth Supported,,4,10101,Mathematics,Mathematical Sciences,Natural And Physical Sciences,0.375
Undergraduate,Domestic - C'wealth Supported,,4,10703,Geology,Earth Sciences,Natural And Physical Sciences,0.125
Undergraduate,Domestic - C'wealth Supported,,4,10101,Mathematics,Mathematical Sciences,Natural And Physical Sciences,0.125
Undergraduate,Domestic - C'wealth Supported,,2,81101,Banking And Finance,"Banking, Finance And Related Fields",Management And Commerce,0.125
Undergraduate,Domestic - C'wealth Supported,,4,10301,Physics,Physics And Astronomy,Natural And Physical Sciences,0.375
Undergraduate,Domestic - C'wealth Supported,,3,10500,Chemical Sciences,Chemical Sciences,Natural And Physical Sciences,0.125
Undergraduate,Domestic - C'wealth Supported,,3,10301,Physics,Physics And Astronomy,Natural And Physical Sciences,0.125
Undergraduate,Domestic - C'wealth Supported,,4,10301,Physics,Physics And Astronomy,Natural And Physical Sciences,0.25
Undergraduate,Domestic - C'wealth Supported,,4,30701,Mechanical Engineering,Mechanical And Industrial Engineering And Technology,Engineering And Related Technologies,0.125
Undergraduate,Domestic - C'wealth Supported,,4,10301,Physics,Physics And Astronomy,Natural And Physical Sciences,0.125
Undergraduate,Domestic - C'wealth Supported,,4,100101,Music,Performing Arts,Creative Arts,0.5
Undergraduate,Domestic - C'wealth Supported,,3,10911,Microbiology,Biological Sciences,Natural And Physical Sciences,0.125
Undergraduate,Domestic - C'wealth Supported,,4,10301,Physics,Physics And Astronomy,Natural And Physical Sciences,0.25
Undergraduate,Domestic - C'wealth Supported,,3,91701,Philosophy,Philosophy And Religious Studies,Society And Culture,0.125
Undergraduate,Domestic - C'wealth Supported,,5,20119,Artificial Intelligence,Computer Science,Information Technology,0.25
Undergraduate,Domestic - C'wealth Supported,,4,81101,Banking And Finance,"Banking, Finance And Related Fields",Management And Commerce,0.125
Undergraduate,Domestic - C'wealth Supported,,4,90300,Studies In Human Society,Studies In Human Society,Society And Culture,0.25
Undergraduate,Domestic - C'wealth Supported,,4,19901,Medical Science,Other Natural And Physical Sciences,Natural And Physical Sciences,0.125
Undergraduate,Domestic - C'wealth Supported,,4,19901,Medical Science,Other Natural And Physical Sciences,Natural And Physical Sciences,0.375
Undergraduate,Domestic - C'wealth Supported,,4,100101,Music,Performing Arts,Creative Arts,0.25
Undergraduate,Domestic - C'wealth Supported,,4,100101,Music,Performing Arts,Creative Arts,1
Undergraduate,Domestic - C'wealth Supported,,4,10101,Mathematics,Mathematical Sciences,Natural And Physical Sciences,0.125
Undergraduate,Domestic - C'wealth Supported,,4,81101,Banking And Finance,"Banking, Finance And Related Fields",Management And Commerce,0.125
Undergraduate,Domestic - C'wealth Supported,,4,81101,Banking And Finance,"Banking, Finance And Related Fields",Management And Commerce,0.125
Undergraduate,Domestic - C'wealth Supported,,4,90300,Studies In Human Society,Studies In Human Society,Society And Culture,0.25
Undergraduate,Domestic - C'wealth Supported,,1,80101,Accounting,Accounting,Management And Commerce,0.125
Undergraduate,Domestic - C'wealth Supported,,4,20119,Artificial Intelligence,Computer Science,Information Technology,0.125
Undergraduate,Domestic - C'wealth Supported,,5,20103,Programming,Computer Science,Information Technology,0.125
Undergraduate,Domestic - C'wealth Supported,,5,39999,Engineering And Related Technologies Not Elsewhere Classifie,Other Engineering And Related Technologies,Engineering And Related Technologies,0.125
Undergraduate,Domestic - C'wealth Supported,,3,81101,Banking And Finance,"Banking, Finance And Related Fields",Management And Commerce,0.25
Undergraduate,Domestic - C'wealth Supported,,3,10300,Physics And Astronomy,Physics And Astronomy,Natural And Physical Sciences,0.125
Undergraduate,Domestic - C'wealth Supported,,4,10301,Physics,Physics And Astronomy,Natural And Physical Sciences,0.125
Undergraduate,Domestic - C'wealth Supported,,4,91505,Southern European Languages,Language And Literature,Society And Culture,0.125
Undergraduate,Domestic - C'wealth Supported,,4,81101,Banking And Finance,"Banking, Finance And Related Fields",Management And Commerce,0.125
Undergraduate,Domestic - C'wealth Supported,,4,81101,Banking And Finance,"Banking, Finance And Related Fields",Management And Commerce,0.125
Undergraduate,Domestic - C'wealth Supported,,4,90900,Law,Law,Society And Culture,0.125
Undergraduate,Domestic - C'wealth Supported,,4,100101,Music,Performing Arts,Creative Arts,0.125
Undergraduate,Domestic - C'wealth Supported,,4,100101,Music,Performing Arts,Creative Arts,0.125
Undergraduate,Domestic - C'wealth Supported,,4,19901,Medical Science,Other Natural And Physical Sciences,Natural And Physical Sciences,0.125
Undergraduate,Domestic - C'wealth Supported,,4,19901,Medical Science,Other Natural And Physical Sciences,Natural And Physical Sciences,0.125
Undergraduate,Domestic - C'wealth Supported,,4,19901,Medical Science,Other Natural And Physical Sciences,Natural And Physical Sciences,0.125
Undergraduate,Domestic - C'wealth Supported,,5,70115,English As A Second Language Teaching,Teacher Education,Education,0.125
Undergraduate,Domestic - C'wealth Supported,,3,91901,Economics,Economics And Econometrics,Society And Culture,0.25
Undergraduate,Domestic - C'wealth Supported,,4,10301,Physics,Physics And Astronomy,Natural And Physical Sciences,0.125
Undergraduate,Domestic - C'wealth Supported,,5,10301,Physics,Physics And Astronomy,Natural And Physical Sciences,0.125
Undergraduate,Domestic - C'wealth Supported,,4,81101,Banking And Finance,"Banking, Finance And Related Fields",Management And Commerce,0.125
